"id","name","type","phone","website","latitude","longitude","region"
"tun_h001","Hôtel Laico Tunis","hotel","+216 71 134 000","https://www.laicotunis.com","36.8324","10.2056","Tunis"
"tun_h002","The Residence Tunis","hotel","+216 71 910 101","https://www.theresidence-tunis.com","36.8920","10.3050","Tunis"
"tun_h003","Movenpick Hotel du Lac Tunis","hotel","+216 71 861 861","https://www.movenpick.com","36.8331","10.2378","Tunis"
"tun_h004","Hôtel Africa Tunis","hotel","+216 71 347 477","https://www.elmouradi.com","36.8024","10.1815","Tunis"
"tun_h005","Sheraton Tunis Hotel","hotel","+216 71 782 100","https://www.marriott.com","36.8487","10.1758","Tunis"
"tun_h006","Hôtel Belvédère Fourati","hotel","+216 71 783 133","","36.8294","10.1733","Tunis"
"tun_h007","Dar El Medina","hotel","+216 71 563 022","https://www.darelmedina.com","36.7989","10.1700","Tunis"
"tun_h008","Hôtel La Maison Blanche","hotel","+216 71 849 849","","36.8456","10.1923","Tunis"
"tun_h009","Hôtel Carlton","hotel","+216 71 330 644","","36.7995","10.1844","Tunis"
"tun_h010","Villa Didon Carthage","hotel","+216 71 733 433","https://villadidoncarthage.com","36.8524","10.3251","Tunis"
"tun_h011","Dar Said Sidi Bou Said","hotel","+216 71 729 666","https://www.darsaid.com.tn","36.8704","10.3489","Tunis"
"tun_h012","Hôtel Dar El Jeld","hotel","+216 71 560 916","https://www.dareljeld.com","36.7991","10.1709","Tunis"
"tun_h013","Concorde Les Berges du Lac","hotel","+216 71 860 000","","36.8395","10.2389","Tunis"
"tun_h014","Hôtel Golden Tulip El Mechtel","hotel","+216 71 783 200","","36.8169","10.1779","Tunis"
"tun_h015","Ramada Plaza Tunis","hotel","+216 71 910 100","https://www.wyndhamhotels.com","36.8956","10.3027","Tunis"
"tun_h016","Hôtel La Maison Bleue","hotel","+216 71 729 022","","36.8712","10.3485","Tunis"
"tun_h017","Hôtel Dar Hi","hotel","+216 71 740 588","","36.8708","10.3475","Tunis"
"tun_h018","Hôtel Royal Victoria","hotel","+216 71 245 555","","36.8012","10.1843","Tunis"
"tun_h019","Hôtel La Maison du Tourisme","hotel","+216 71 256 195","","36.7980","10.1715","Tunis"
"tun_h020","Hôtel Diplomat","hotel","+216 71 785 233","","36.8398","10.1689","Tunis"
"tun_h021","Hôtel Tunisia Palace","hotel","+216 71 345 833","","36.8019","10.1830","Tunis"
"tun_h022","Hôtel Majestic Tunis","hotel","+216 71 332 848","","36.8023","10.1820","Tunis"
"tun_h023","Hôtel Maison Dorée","hotel","+216 71 240 632","","36.8015","10.1838","Tunis"
"tun_h024","Hôtel El Hana International","hotel","+216 71 331 144","","36.8025","10.1825","Tunis"
"tun_h025","Hôtel Régence","hotel","+216 71 743 939","","36.8780","10.3270","Tunis"
"tun_r001","Dar El Jeld","restaurant","+216 71 560 916","https://www.dareljeld.com","36.7991","10.1709","Tunis"
"tun_r002","Le Capitole","restaurant","+216 71 256 601","","36.7994","10.1819","Tunis"
"tun_r003","Restaurant El Walima","restaurant","+216 71 252 425","","36.8013","10.1840","Tunis"
"tun_r004","Dar Belhadj","restaurant","+216 71 575 020","","36.7975","10.1695","Tunis"
"tun_r005","Le Slovenia","restaurant","+216 71 786 080","","36.8246","10.1645","Tunis"
"tun_r006","Chez Slah","restaurant","+216 71 258 588","","36.7993","10.1825","Tunis"
"tun_r007","L'Astragale","restaurant","+216 71 785 080","","36.8345","10.1645","Tunis"
"tun_r008","Alyssa Restaurant","restaurant","+216 71 740 720","","36.8350","10.1487","Tunis"
"tun_r009","La Closerie","restaurant","+216 71 740 940","","36.8389","10.1612","Tunis"
"tun_r010","Le Pirate Sidi Bou Said","restaurant","+216 71 748 266","","36.8718","10.3469","Tunis"
"tun_r011","Au Bon Vieux Temps","restaurant","+216 71 744 733","","36.8705","10.3489","Tunis"
"tun_r012","Dar Zarrouk","restaurant","+216 71 740 591","","36.8702","10.3478","Tunis"
"tun_r013","Le Golfe","restaurant","+216 71 731 944","","36.8472","10.3290","Tunis"
"tun_r014","Restaurant M'Rabet","restaurant","+216 71 561 729","","36.7977","10.1716","Tunis"
"tun_r015","Le Baroque","restaurant","+216 71 252 528","","36.8023","10.1850","Tunis"
"tun_r016","Restaurant Essaraya","restaurant","+216 71 560 310","","36.7976","10.1690","Tunis"
"tun_r017","Fondouk El Attarine","restaurant","+216 71 562 363","","36.7981","10.1705","Tunis"
"tun_r018","Restaurant Le Cosmos","restaurant","+216 71 241 610","","36.8009","10.1835","Tunis"
"tun_r019","La Mamma","restaurant","+216 71 287 542","","36.8045","10.1860","Tunis"
"tun_r020","Restaurant Dar Bel Hadj","restaurant","+216 71 575 020","","36.7973","10.1693","Tunis"
"tun_r021","Le Sindbad","restaurant","+216 71 800 990","","36.8423","10.1834","Tunis"
"tun_r022","Restaurant La Falaise","restaurant","+216 71 749 540","","36.8723","10.3490","Tunis"
"tun_r023","La Villa Bleue","restaurant","+216 71 743 011","","36.8721","10.3486","Tunis"
"tun_r024","Restaurant Tchevap","restaurant","+216 71 800 555","","36.8413","10.1849","Tunis"
"tun_r025","Le Carthage","restaurant","+216 71 730 240","","36.8534","10.3245","Tunis"
"tun_r026","Restaurant L'Orient","restaurant","+216 71 256 478","","36.8001","10.1825","Tunis"
"tun_r027","Restaurant Le Phenicia","restaurant","+216 71 240 565","","36.8019","10.1815","Tunis"
"tun_r028","Restaurant Saf Saf La Marsa","restaurant","+216 71 743 535","","36.8775","10.3270","Tunis"
"tun_r029","Restaurant Le Boeuf à la Mode","restaurant","+216 71 800 600","","36.8434","10.1845","Tunis"
"tun_r030","Restaurant Chez Nous","restaurant","+216 71 256 178","","36.8002","10.1828","Tunis"
"tun_r031","Restaurant Le Grand Café du Théâtre","restaurant","+216 71 257 478","","36.8019","10.1834","Tunis"
"tun_r032","Restaurant Le Coquillage","restaurant","+216 71 747 080","","36.8784","10.3265","Tunis"
"tun_r033","Restaurant Le Roi du Couscous","restaurant","+216 71 250 470","","36.7985","10.1720","Tunis"
"tun_r034","Restaurant Dar Mra","restaurant","+216 71 562 263","","36.7979","10.1708","Tunis"
"tun_r035","Restaurant La Mer","restaurant","+216 71 731 944","","36.8765","10.3275","Tunis"
"tun_fa001","McDonald's Avenue Bourguiba","fast_food","+216 71 240 333","","36.8009","10.1834","Tunis"
"tun_fa002","KFC Tunis Centre","fast_food","+216 71 121 200","","36.8024","10.1843","Tunis"
"tun_fa003","Baguette & Baguette","fast_food","+216 71 800 100","","36.8423","10.1789","Tunis"
"tun_fa004","Burger King Tunis","fast_food","+216 71 121 300","","36.8045","10.1856","Tunis"
"tun_fa005","Pizza Hut La Marsa","fast_food","+216 71 740 100","","36.8775","10.3268","Tunis"
"tun_fa006","Chicken Cottage","fast_food","+216 71 800 200","","36.8434","10.1845","Tunis"
"tun_fa007","Subway Berges du Lac","fast_food","+216 71 862 000","","36.8395","10.2389","Tunis"
"tun_m001","Musée National du Bardo","museum","+216 71 513 650","http://www.bardomuseum.tn","36.8092","10.1342","Tunis"
"tun_m002","Musée National de Carthage","museum","+216 71 730 036","","36.8536","10.3243","Tunis"
"tun_m003","Musée Paléo-Chrétien de Carthage","museum","+216 71 730 036","","36.8540","10.3296","Tunis"
"tun_m004","Musée Dar Ben Abdallah","museum","+216 71 256 195","","36.7965","10.1697","Tunis"
"tun_m005","Musée de la Monnaie","museum","+216 71 122 000","","36.8001","10.1834","Tunis"
"tun_m006","Musée Militaire National","museum","+216 71 941 005","","36.8389","10.1623","Tunis"
"tun_m007","Musée Sidi Bou Said Dar El Annabi","museum","+216 71 740 871","","36.8716","10.3479","Tunis"
"tun_m008","Musée Océanographique de Salammbô","museum","+216 71 730 420","","36.8424","10.3245","Tunis"
"tun_m009","Centre des Arts Vivants de Radès","museum","+216 71 442 200","","36.7689","10.2752","Tunis"
"tun_m010","Musée de la Médina","museum","+216 71 256 195","","36.7975","10.1700","Tunis"
"tun_m011","Musée de la Ville de Tunis","museum","+216 71 256 195","","36.7980","10.1712","Tunis"
"tun_m012","Musée des Arts Populaires","museum","+216 71 256 195","","36.7972","10.1705","Tunis"
"tun_m013","Musée Ennejma Ezzahra","museum","+216 71 740 102","","36.8721","10.3486","Tunis"
"tun_m014","Musée Lapidaire de Carthage","museum","+216 71 730 036","","36.8533","10.3250","Tunis"
"tun_m015","Galerie d'Art Contemporain Le Violon Bleu","museum","+216 71 744 666","","36.8708","10.3485","Tunis"
"tun_p001","Parc Belvédère","park","","","36.8294","10.1736","Tunis"
"tun_p002","Parc Zoologique de Tunis","attraction","+216 71 287 555","","36.8298","10.1745","Tunis"
"tun_p003","Carthage Land Hammam-Lif","attraction","+216 71 290 540","https://www.carthageland.com","36.7333","10.3406","Tunis"
"tun_p004","Acqua Palace La Marsa","attraction","+216 71 749 999","","36.8780","10.3267","Tunis"
"tun_p005","Parc Familial El Mourouj","park","","","36.7178","10.2178","Tunis"
"tun_p006","Jardin Habib Thameur","park","","","36.8047","10.1812","Tunis"
"tun_p007","Parc de Tunis","park","","","36.8285","10.1729","Tunis"
"tun_p008","Dah Dah Happy Land","attraction","+216 71 940 070","","36.8412","10.1845","Tunis"
"tun_p009","Carthage Land Tunis","attraction","+216 71 941 100","","36.8542","10.2245","Tunis"
"tun_p010","Jardin du Belvédère","park","","","36.8290","10.1730","Tunis"
"tun_p011","Parc El Mourouj 1","park","","","36.7156","10.2156","Tunis"
"tun_p012","Parc Ennasr","park","","","36.8523","10.2056","Tunis"
"tun_p013","Aqua Land Hammam-Lif","attraction","+216 71 290 540","","36.7345","10.3415","Tunis"
"tun_p014","Parc Sidi Bou Said","park","","","36.8712","10.3475","Tunis"
"tun_p015","Jardin Public de La Marsa","park","","","36.8785","10.3275","Tunis"
"tun_p016","Lunapark Tunis","attraction","+216 71 940 100","","36.8420","10.1850","Tunis"
"tun_p017","Parc Farhat Hached","park","","","36.7989","10.1834","Tunis"
"tun_p018","Aire de Jeux Berges du Lac","attraction","","","36.8395","10.2389","Tunis"
"tun_p019","Jardin Botanique de Tunis","park","","","36.8298","10.1742","Tunis"
"tun_p020","Bowling Berges du Lac","attraction","+216 71 862 100","","36.8395","10.2378","Tunis"
"tun_mo001","Amphithéâtre de Carthage","monument","","","36.8550","10.3221","Tunis"
"tun_mo002","Thermes d'Antonin","monument","+216 71 730 036","","36.8567","10.3290","Tunis"
"tun_mo003","Mosquée Zitouna","monument","","","36.7975","10.1714","Tunis"
"tun_mo004","Médina de Tunis","monument","","","36.7987","10.1696","Tunis"
"tun_mo005","Bab El Bhar (Porte de France)","monument","","","36.8000","10.1737","Tunis"
"tun_mo006","Cathédrale Saint-Vincent-de-Paul","monument","+216 71 256 154","","36.8005","10.1820","Tunis"
"tun_mo007","Palais Ksar Said","monument","","","36.8089","10.1245","Tunis"
"tun_mo008","Acropolium de Carthage","monument","+216 71 733 304","","36.8531","10.3243","Tunis"
"tun_mo009","Villas Romaines de Carthage","monument","","","36.8556","10.3267","Tunis"
"tun_mo010","Quartier Punique de Byrsa","monument","","","36.8530","10.3239","Tunis"
"tun_mo011","Ports Puniques de Carthage","monument","","","36.8517","10.3260","Tunis"
"tun_mo012","Tophet de Carthage","monument","","","36.8417","10.3242","Tunis"
"tun_mo013","Mausolée de Habib Bourguiba","monument","","","36.8095","10.1340","Tunis"
"tun_mo014","Cathédrale Saint-Louis de Carthage","monument","","","36.8533","10.3240","Tunis"
"tun_mo015","Médersa El Bachia","monument","","","36.7984","10.1715","Tunis"
"tun_mo016","Souk El Attarine","monument","","","36.7985","10.1715","Tunis"
"tun_mo017","Dar Hussein","monument","","","36.7971","10.1701","Tunis"
"tun_mo018","Tourbet El Bey","monument","","","36.7965","10.1693","Tunis"
"tun_mo019","Bab Saadoun","monument","","","36.8086","10.1590","Tunis"
"tun_mo020","Mosquée Sidi Mahrez","monument","","","36.8001","10.1719","Tunis"
"tun_mo021","Palais Dar Lasram","monument","","","36.7976","10.1690","Tunis"
"tun_mo022","Souk des Chéchias","monument","","","36.7987","10.1717","Tunis"
"tun_mo023","Souk El Berka","monument","","","36.7985","10.1717","Tunis"
"tun_mo024","Bab Jedid","monument","","","36.7956","10.1689","Tunis"
"tun_mo025","Bab Souika","monument","","","36.8061","10.1681","Tunis"
"tun_mo026","Place du Gouvernement","monument","","","36.7989","10.1718","Tunis"
"tun_mo027","Hammam Kachachine","monument","","","36.7985","10.1714","Tunis"
"tun_mo028","Dar El Bey (Palais)","monument","","","36.7991","10.1713","Tunis"
"tun_mo029","Sidi Bou Said Village","monument","","","36.8706","10.3417","Tunis"
"tun_mo030","Phare de Sidi Bou Said","monument","","","36.8723","10.3490","Tunis"
"tun_c001","Café des Nattes Sidi Bou Said","cafe","+216 71 740 282","","36.8709","10.3478","Tunis"
"tun_c002","Café El Ali","cafe","+216 71 321 927","","36.7982","10.1712","Tunis"
"tun_c003","Café M'Rabet","cafe","+216 71 561 729","","36.7977","10.1716","Tunis"
"tun_c004","Café Sidi Chabaane","cafe","+216 71 740 070","","36.8706","10.3467","Tunis"
"tun_c005","Le Café Vert","cafe","+216 71 800 200","","36.8345","10.1645","Tunis"
"tun_c006","Café Théâtre","cafe","+216 71 257 478","","36.8019","10.1834","Tunis"
"tun_c007","Brooklyn Coffee Tunis","cafe","+216 20 727 474","","36.8394","10.1580","Tunis"
"tun_c008","Café Nomade","cafe","","","36.8396","10.1579","Tunis"
"tun_c009","Café Journal","cafe","+216 71 845 425","","36.8350","10.1660","Tunis"
"tun_c010","La Rosa Café","cafe","","","36.8351","10.1464","Tunis"
